st_id,st_tui_math1,st_tui_hindi1,st_tui_other1,st_tui_math_hrs1,ts_grade1,tot_hindi1,tot_math1,per_math1,per_hindi1,m_theta_eap1,m_theta_mle1,h_theta_eap1,h_theta_mle1,any_tuition1,quint_math1,quint_hindi1,terc_math1,terc_hindi1,st_tui_math2,st_tui_hindi2,st_tui_other2,st_tui_math_hrs2,ts_grade2,tot_hindi2,tot_math2,per_math2,per_hindi2,m_theta_eap2,m_theta_mle2,h_theta_eap2,h_theta_mle2,any_tuition2,ms_center1,st_age1,st_female1,st_grade1,treat,strata,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9
TK257,1,1,1,More than 4 hours,9-Aug,10,10,0.2857143,0.3333333,-0.1158101,-0.0094654,-0.1975954,-0.0654267,1,2,2,2,2,0,0,1,.,9-Aug,16,19,0.5428572,0.5333334,0.9364401,0.79299,0.5267696,0.4964485,1,Tekhand,12,1,8,0,14,0.1802945,0,0,0,0,1,0
TK258,0,0,0,.,9-Aug,10,14,0.4,0.3333333,1.169148,1.104792,-0.0873952,0.0257682,0,5,2,3,2,0,0,0,.,9-Aug,12,14,0.4,0.4,0.2415188,0.3198834,-0.6103699,-0.4197263,0,Tekhand,13,1,8,0,14,1.4008,0,0,0,0,1,0
TK259,0,0,0,.,9-Aug,9,7,0.2,0.3,-0.4501446,-0.2820738,-0.292066,-0.0826397,0,2,2,1,2,0,0,1,.,9-Aug,11,20,0.5714286,0.3666667,0.9000733,0.7987885,-1.008412,-0.7157422,1,Tekhand,14,1,8,1,14,-2.074339,0,0,0,0,1,0
TK260,1,0,0,Less than 1 hour,9-Aug,10,10,0.2857143,0.3333333,-0.6257083,-0.4700085,0.0923753,0.1971233,1,1,2,1,2,1,0,0,Less than 1 hour,9-Aug,20,14,0.4,0.6666667,0.6692573,0.594569,1.080298,0.9620452,1,Tekhand,14,1,9,0,16,0.5956523,0,0,0,0,0,1
TK261,0,0,1,.,7-Jun,18,18,0.5142857,0.6,0.9313423,1.016656,0.8237361,0.747767,1,5,5,3,3,0,0,1,.,7-Apr,20,18,0.5294118,0.6666667,0.9372217,0.8024943,0.7991082,0.7037156,1,Tekhand,12,1,7,0,14,1.913375,0,0,0,1,0,0
TK263,0,1,0,.,7-Jun,12,12,0.3428572,0.4,0.1511536,0.2103215,-0.6348068,-0.4306045,1,4,2,2,2,1,0,0,More than 4 hours,7-Apr,19,19,0.5588235,0.6333333,1.045777,0.8553766,0.2047815,0.2391553,1,Tekhand,11,1,6,1,15,-1.337381,0,0,1,0,0,0
TK264,1,0,0,Less than 1 hour,7-Jun,15,14,0.4,0.5,0.6337132,0.5422093,0.3445011,0.3854784,1,5,5,3,3,1,1,0,Less than 1 hour,7-Apr,14,19,0.5588235,0.4666667,0.4066465,0.4058386,-0.4948445,-0.3779599,1,Tekhand,12,1,6,0,15,-2.106704,0,0,1,0,0,0
TK265,1,0,0,2-3 hours,7-Jun,13,16,0.4571429,0.4333333,0.8377805,0.7830384,-0.3789087,-0.2633992,1,5,3,3,2,1,0,0,2-3 hours,7-Apr,16,17,0.5,0.5333334,0.6195199,0.5291173,0.3143715,0.286079,1,Tekhand,11,1,6,0,14,0.1733165,0,0,1,0,0,0
TK266,0,0,1,.,7-Jun,15,11,0.3142857,0.5,0.2963645,0.2593052,-0.4466997,-0.3178552,1,4,3,3,2,,,,.,,,,,,,,,,,Tekhand,12,1,6,1,15,-0.5456237,0,0,1,0,0,0
TK268,0,0,0,.,7-Jun,17,12,0.3428572,0.5666667,0.6235698,0.5804619,0.3185969,0.3359947,0,4,4,3,2,0,0,1,.,7-Apr,18,20,0.5882353,0.6,0.9468585,0.7886986,0.8155792,0.7383506,1,Tekhand,13,1,7,0,17,-0.5447939,0,0,0,1,0,0
TK269,1,1,1,1-2 hours,9-Aug,13,5,0.1428571,0.4333333,-1.782399,-2.306843,0.2962433,0.3105395,1,1,3,1,2,0,0,1,.,9-Aug,18,15,0.4285714,0.6,0.7165554,0.604964,0.4766829,0.4472886,1,Tekhand,13,1,8,0,17,-2.010564,0,0,0,0,1,0
TK271,1,1,0,.,7-Jun,16,12,0.3428572,0.5333334,0.5096604,0.3947673,0.2788476,0.2955114,1,4,3,3,2,,,,.,,,,,,,,,,,Tekhand,14,0,7,1,13,2.824754,0,0,0,1,0,0
TK272,1,1,1,More than 4 hours,9-Aug,11,9,0.2571429,0.3666667,-0.5618511,-0.4010646,0.0002478,0.1205401,1,1,3,1,2,0,0,1,.,9-Aug,12,13,0.3714286,0.4,-0.0894087,0.0422658,-0.9497511,-0.7118952,1,Tekhand,13,1,8,0,14,1.913375,0,0,0,0,1,0
TK273,1,1,1,More than 4 hours,9-Aug,9,12,0.3428572,0.3,0.5795899,0.5591267,-0.3399643,-0.230747,1,4,2,2,1,0,0,1,.,9-Aug,21,23,0.6571429,0.7,1.929442,1.482671,1.085535,0.9522601,1,Tekhand,13,1,8,1,14,-0.0606807,0,0,0,0,1,0
TK274,1,1,1,1-2 hours,7-Jun,9,9,0.2571429,0.3,-0.5997674,-0.3292554,-0.8808444,-0.6900153,1,2,2,1,1,1,0,0,Less than 1 hour,7-Apr,9,13,0.3823529,0.3,-0.0570756,0.035643,-1.101398,-0.7924178,1,Tekhand,11,1,6,1,17,-3.616535,0,0,1,0,0,0
TK275,1,1,1,More than 4 hours,7-Jun,17,8,0.2285714,0.5666667,-0.5770711,-0.2899489,0.7224673,0.6973912,1,2,4,1,3,0,0,1,.,7-Apr,13,11,0.3235294,0.4333333,-0.6972708,-0.4211223,-0.0298999,0.0562605,1,Tekhand,13,1,7,1,18,-1.305015,0,0,0,1,0,0
TK276,1,1,1,More than 4 hours,7-Jun,17,10,0.2857143,0.5666667,-0.0393241,0.0778302,0.6658276,0.6143728,1,3,4,2,3,1,0,0,1-2 hours,7-Apr,17,10,0.2941177,0.5666667,-0.4167734,-0.1637909,0.4340952,0.4006653,1,Tekhand,10,1,7,0,18,-0.7830804,0,0,0,1,0,0
TK277,1,1,1,1-2 hours,7-Jun,8,14,0.4,0.2666667,0.3649247,0.3877302,-0.9838823,-0.7454363,1,4,2,3,1,1,0,0,1-2 hours,7-Apr,7,15,0.4411765,0.2333333,0.4912791,0.4842622,-1.390328,-1.032327,1,Tekhand,11,1,6,0,17,-2.779888,0,0,1,0,0,0
TK278,0,0,0,.,7-Jun,17,11,0.3142857,0.5666667,0.0258337,0.0906738,0.3896977,0.4602305,0,3,5,2,3,0,1,0,.,7-Apr,19,22,0.6470588,0.6333333,1.436221,1.155598,0.8665273,0.7653943,1,Tekhand,,1,6,0,17,-1.191679,0,0,1,0,0,0
TK279,1,1,1,Less than 1 hour,7-Jun,16,6,0.1714286,0.5333334,-1.218801,-0.8385698,0.2592365,0.2960203,1,1,4,1,3,0,0,1,.,7-Apr,19,19,0.5588235,0.6333333,0.6186413,0.5343561,0.6761188,0.6071661,1,Tekhand,11,1,6,0,14,2.643393,0,0,1,0,0,0
TK281,1,1,1,More than 4 hours,9-Aug,6,11,0.3142857,0.2,0.2636663,0.3280059,-0.86834,-0.843655,1,3,1,2,1,0,0,1,.,9-Aug,20,25,0.7142857,0.6666667,1.950351,1.527308,0.8240041,0.7192703,1,Tekhand,13,1,8,1,14,-0.5322324,0,0,0,0,1,0
TK282,0,1,0,.,9-Aug,8,3,0.0857143,0.2666667,-2.176286,-3.364392,-0.6168482,-0.4620971,1,1,1,1,1,0,1,0,.,9-Aug,13,7,0.2,0.4333333,-1.893055,-2.554016,-0.4376984,-0.2790341,1,Tekhand,12,1,8,0,19,1.03253,0,0,0,0,1,0
TK283,1,1,1,More than 4 hours,7-Jun,7,12,0.3428572,0.2333333,-0.3972571,-0.2046134,-1.552257,-1.31832,1,2,1,2,1,,,,.,7-Apr,0,11,0.3235294,0,-0.5895606,-0.3089679,,,,Tekhand,14,0,7,0,19,-0.7125467,0,0,0,1,0,0
