st_id,st_tui_math1,st_tui_hindi1,st_tui_other1,st_tui_math_hrs1,ts_grade1,tot_hindi1,tot_math1,per_math1,per_hindi1,m_theta_eap1,m_theta_mle1,h_theta_eap1,h_theta_mle1,any_tuition1,quint_math1,quint_hindi1,terc_math1,terc_hindi1,st_tui_math2,st_tui_hindi2,st_tui_other2,st_tui_math_hrs2,ts_grade2,tot_hindi2,tot_math2,per_math2,per_hindi2,m_theta_eap2,m_theta_mle2,h_theta_eap2,h_theta_mle2,any_tuition2,ms_center1,st_age1,st_female1,st_grade1,treat,strata,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9
TK327,1,1,1,Less than 1 hour,9-Aug,16,14,0.4,0.5333334,0.8709575,0.7951887,0.6208673,0.7422994,1,4,4,3,3,0,0,1,.,9-Aug,21,23,0.6571429,0.7,1.533288,1.164246,1.055655,1.001802,1,Tekhand,,0,8,0,13,-0.8792201,0,0,0,0,1,0
TK329,1,1,1,1-2 hours,9-Aug,12,13,0.3714286,0.4,1.225317,1.090212,0.1668992,0.3515951,1,5,3,3,2,1,0,0,More than 4 hours,9-Aug,16,25,0.7142857,0.5333334,2.048935,1.594717,0.0542076,0.0780786,1,Tekhand,,0,8,1,13,-1.318407,0,0,0,0,1,0
TK330,0,0,0,.,9-Aug,13,16,0.4571429,0.4333333,1.540322,1.387595,0.5174755,0.576677,0,5,4,3,2,,,,.,,,,,,,,,,,Tekhand,,0,9,1,13,-1.401155,0,0,0,0,0,1
TK331,1,1,1,Less than 1 hour,9-Aug,15,14,0.4,0.5,1.438486,1.205672,0.8630468,0.7661861,1,5,4,3,3,0,0,1,.,9-Aug,21,23,0.6571429,0.7,1.834019,1.450256,1.00947,0.8598968,1,Tekhand,,0,8,1,13,-2.106704,0,0,0,0,1,0
TK332,0,0,0,.,9-Aug,11,18,0.5142857,0.3666667,1.974446,1.570328,-0.00744,0.0933841,0,5,2,3,1,,,,.,,,,,,,,,,,Tekhand,15,0,9,1,19,0.5336551,0,0,0,0,0,1
TK333,1,1,0,2-3 hours,7-Jun,10,10,0.2857143,0.3333333,0.2209948,0.205031,-0.6895101,-0.4994403,1,4,2,2,2,0,0,1,.,7-Apr,10,20,0.5882353,0.3333333,1.158314,0.9672754,-0.6991151,-0.5125137,1,Tekhand,12,0,6,1,12,-0.6318316,0,0,1,0,0,0
TK334,0,0,0,.,7-Jun,11,15,0.4285714,0.3666667,0.7884053,0.7111564,-0.1480715,-0.0608977,0,5,3,3,2,0,1,0,.,7-Apr,12,21,0.6176471,0.4,1.167807,0.9637427,-0.2498875,-0.1229595,1,Tekhand,12,0,7,0,12,-0.6318316,0,0,0,1,0,0
TK335,1,1,0,1-2 hours,9-Aug,13,8,0.2285714,0.4333333,-0.4675227,-0.2882185,0.4240392,0.4598723,1,2,3,1,2,,,,.,,,,,,,,,,,Tekhand,12,0,9,0,13,-0.5490831,0,0,0,0,0,1
TK336,0,1,0,.,7-Jun,11,12,0.3428572,0.3666667,-0.6591628,-0.4846972,-0.5130506,-0.3331975,1,2,3,1,2,0,0,1,.,7-Apr,17,11,0.3235294,0.5666667,-1.035946,-0.6169353,0.0663335,0.103783,1,Tekhand,,0,6,0,13,-0.0186116,0,0,1,0,0,0
TK339,0,0,1,.,9-Aug,11,13,0.3714286,0.3666667,0.5068986,0.6082329,0.1827341,0.2782311,1,4,3,3,2,0,1,0,.,9-Aug,24,19,0.5428572,0.8,0.9608203,0.8134903,1.502482,1.337172,1,Tekhand,,1,8,0,17,1.988106,0,0,0,0,1,0
TK340,1,0,1,1-2 hours,9-Aug,15,12,0.3428572,0.5,0.5686662,0.5356472,0.3798656,0.4154626,1,4,3,2,2,,,,.,,,,,,,,,,,Tekhand,,0,8,0,12,0.9292488,0,0,0,0,1,0
TK341,0,0,0,.,7-Jun,24,9,0.2571429,0.8,-1.490444,-1.181489,1.648337,1.453248,0,1,5,1,3,0,0,0,.,7-Apr,25,14,0.4117647,0.8333333,-0.049969,0.0862497,2.001993,1.757297,0,Tekhand,12,1,7,1,14,1.289587,0,0,0,1,0,0
TK342,0,0,1,.,7-Jun,8,15,0.4285714,0.2666667,0.287179,0.2833583,-0.997741,-0.7315069,1,4,2,2,1,1,0,0,Less than 1 hour,7-Apr,12,18,0.5294118,0.4,1.060573,0.876422,-0.7068831,-0.48897,1,Tekhand,,0,7,1,12,-2.174028,0,0,0,1,0,0
TK343,0,0,1,.,9-Aug,8,8,0.2285714,0.2666667,-0.3623975,-0.1761871,-0.4552274,-0.3292231,1,2,2,1,1,0,0,1,.,9-Aug,19,15,0.4285714,0.6333333,0.401914,0.3893277,0.762879,0.6394497,1,Tekhand,,1,8,1,17,-1.337381,0,0,0,0,1,0
TK344,0,0,0,.,9-Aug,6,9,0.2571429,0.2,-1.490046,-2.166265,-0.6588989,-0.4682002,0,1,1,1,1,0,1,0,.,9-Aug,18,8,0.2285714,0.6,-1.16048,-0.7714032,0.5906631,0.5538595,1,Tekhand,,1,8,0,17,-0.9738676,0,0,0,0,1,0
TK345,0,0,0,.,9-Aug,4,12,0.3428572,0.1333333,0.0015718,0.0104444,-1.065678,-0.9563082,0,2,1,2,1,1,0,0,.,9-Aug,7,8,0.2285714,0.2333333,-1.134903,-0.7636535,-1.506397,-1.175964,1,Tekhand,,1,8,0,17,-1.350772,0,0,0,0,1,0
TK346,0,0,1,.,7-Jun,14,8,0.2285714,0.4666667,-0.0008577,0.0779815,0.1943361,0.2302133,1,3,4,2,3,,,,.,,,,,,,,,,,Tekhand,,1,6,1,17,0.9176349,0,0,1,0,0,0
TK347,1,0,0,Less than 1 hour,9-Aug,7,7,0.2,0.2333333,-1.789568,-1.605368,-0.4892592,-0.2651945,1,1,1,1,1,0,1,0,.,9-Aug,8,8,0.2285714,0.2666667,-1.362214,-1.41042,-1.149847,-0.8438875,1,Tekhand,14,1,9,0,17,-0.1736712,0,0,0,0,0,1
TK348,1,1,0,1-2 hours,7-Jun,12,9,0.2571429,0.4,0.0341401,0.0838115,-0.3290401,-0.3137998,1,3,2,2,1,0,0,1,.,7-Apr,23,23,0.6764706,0.7666667,1.611238,1.241791,1.368484,1.191291,1,Tekhand,,1,7,1,14,0.9292488,0,0,0,1,0,0
TK349,0,1,0,.,9-Aug,11,3,0.0857143,0.3666667,-1.461931,-1.643987,0.1269306,0.2915097,1,1,3,1,2,0,0,1,.,9-Aug,14,8,0.2285714,0.4666667,-0.8604622,-0.4517223,-0.056211,0.0271988,1,Tekhand,14,1,8,1,17,-0.6452228,0,0,0,0,1,0
TK351,1,0,0,Less than 1 hour,7-Jun,16,6,0.1714286,0.5333334,-1.309357,-0.8057752,0.2497097,0.295097,1,1,3,1,2,0,0,1,.,7-Apr,15,12,0.3529412,0.5,-0.4680243,-0.2101166,0.0353365,0.0912747,1,Tekhand,12,1,7,0,17,-0.5581852,0,0,0,1,0,0
TK352,0,0,0,.,9-Aug,6,5,0.1428571,0.2,-1.337273,-0.9619823,-0.5496156,-0.3609529,0,1,2,1,1,0,0,1,.,9-Aug,8,15,0.4285714,0.2666667,-0.7326705,-0.5638605,-1.061541,-0.903973,1,Tekhand,16,1,8,0,17,0.4635077,0,0,0,0,1,0
TK353,0,1,0,.,7-Jun,15,12,0.3428572,0.5,0.4283192,0.4430821,0.2987833,0.3669783,1,4,4,3,3,0,0,1,.,7-Apr,17,13,0.3823529,0.5666667,-0.0169962,0.0962078,0.4217513,0.3944307,1,Tekhand,12,1,7,1,18,-0.1098966,0,0,0,1,0,0
TK354,0,1,0,.,7-Jun,10,4,0.1142857,0.3333333,-1.331386,-1.237881,-0.5737936,-0.3940444,1,1,2,1,1,0,0,1,.,7-Apr,10,12,0.3529412,0.3333333,-0.2217617,-0.0631679,-0.8917064,-0.6250651,1,Tekhand,12,1,7,0,18,-5.630599,0,0,0,1,0,0
TK355,0,0,0,.,7-Jun,9,10,0.2857143,0.3,-0.7966622,-0.4784595,-0.8692059,-0.6195991,0,2,2,1,1,0,0,1,.,7-Apr,16,11,0.3235294,0.5333334,-0.9276922,-0.5733898,0.4509833,0.4240623,1,Tekhand,12,1,7,1,14,-0.1098966,0,0,0,1,0,0
TK357,0,0,0,.,7-Jun,10,8,0.2285714,0.3333333,-0.8175066,-0.5023807,-0.7387446,-0.5013822,0,2,2,1,1,0,0,1,.,7-Apr,16,8,0.2352941,0.5333334,-0.9636607,-0.6693791,0.5304287,0.4742264,1,Tekhand,12,1,7,1,14,-0.074072,0,0,0,1,0,0
TK358,1,0,0,More than 4 hours,7-Jun,7,10,0.2857143,0.2333333,-0.9000872,-0.679855,-1.392611,-1.23173,1,1,1,1,1,1,0,0,More than 4 hours,7-Apr,11,7,0.2058824,0.3666667,-1.258466,-0.898108,-0.8542179,-0.6462877,1,Tekhand,15,1,7,0,19,-0.9969273,0,0,0,1,0,0
TK360,1,1,1,1-2 hours,7-Jun,9,11,0.3142857,0.3,0.3213194,0.3180771,-1.314761,-1.069354,1,4,1,3,1,,,,.,,,,,,,,,,,Tekhand,12,1,6,0,15,0.1241006,0,0,1,0,0,0
TK361,1,1,1,Less than 1 hour,7-Jun,11,10,0.2857143,0.3666667,-0.158126,-0.0084016,-0.3090457,-0.1756955,1,3,3,2,2,1,1,0,2-3 hours,7-Apr,16,13,0.3823529,0.5333334,0.0664147,0.1898592,0.2257505,0.2370024,1,Tekhand,,1,6,1,14,-0.1602799,0,0,1,0,0,0
TK362,1,1,1,1-2 hours,7-Jun,15,13,0.3714286,0.5,0.757033,0.648439,0.283757,0.3317895,1,4,3,3,2,1,0,0,1-2 hours,7-Apr,21,19,0.5588235,0.7,0.9732687,0.7921244,1.198994,0.9575971,1,Tekhand,10,1,8,1,14,2.824754,0,0,0,0,1,0
TK363,0,0,0,.,7-Jun,8,9,0.2571429,0.2666667,-0.6384106,-0.4093271,-0.7769847,-0.5796039,0,2,2,1,1,,,,.,,,,,,,,,,,Tekhand,13,1,7,1,17,-0.1098966,0,0,0,1,0,0
TK364,0,0,0,.,9-Aug,11,9,0.2571429,0.3666667,-0.4576207,-0.299026,-0.3325082,-0.2629095,0,2,2,1,1,1,1,0,2-3 hours,9-Aug,14,13,0.3714286,0.4666667,-0.4893801,-0.2709047,-0.0777552,-0.0142343,1,Tekhand,,1,8,1,17,-0.1098966,0,0,0,0,1,0
TK365,0,0,0,.,9-Aug,6,11,0.3142857,0.2,0.3792384,0.3357199,-0.5992875,-0.4313058,0,3,1,2,1,0,0,1,.,9-Aug,20,20,0.5714286,0.6666667,1.431021,1.11288,0.9301121,0.7657373,1,Tekhand,,1,8,0,17,0.6952515,0,0,0,0,1,0
TK366,1,0,0,3-4 hours,7-Jun,9,10,0.2857143,0.3,0.1525762,0.1740395,-1.533775,-1.32413,1,4,1,2,1,,,,.,,,,,,,,,,,Tekhand,10,1,6,1,16,-3.256797,0,0,1,0,0,0
TK367,1,1,0,3-4 hours,7-Jun,16,7,0.2,0.5333334,-0.3591653,-0.1636185,0.5128285,0.4893011,1,2,5,2,3,0,0,1,.,7-Apr,11,12,0.3529412,0.3666667,-0.1360994,0.0350985,-0.5620194,-0.3590919,1,Tekhand,11,1,6,0,16,-1.337381,0,0,1,0,0,0
TK368,1,1,1,2-3 hours,7-Jun,9,14,0.4,0.3,0.3094417,0.3320114,-0.6310697,-0.4266052,1,4,2,2,1,0,0,1,.,7-Apr,12,9,0.2647059,0.4,-0.5981134,-0.3218585,-1.07246,-0.7753066,1,Tekhand,12,1,7,0,15,0.0032807,0,0,0,1,0,0
TK369,1,1,1,More than 4 hours,7-Jun,6,13,0.3714286,0.2,-0.3091889,-0.1133572,-1.212867,-1.019511,1,3,1,2,1,1,0,0,Less than 1 hour,7-Apr,20,17,0.5,0.6666667,0.5488175,0.477768,0.8814158,0.835667,1,Tekhand,,1,7,1,15,0.9292488,0,0,0,1,0,0
TK370,1,1,1,More than 4 hours,9-Aug,17,12,0.3428572,0.5666667,0.5765345,0.6159599,1.258359,1.091341,1,4,5,3,3,1,0,0,1-2 hours,9-Aug,20,17,0.4857143,0.6666667,1.01267,0.8266542,1.070524,0.9009619,1,Tekhand,,1,8,0,15,0.1241006,0,0,0,0,1,0
TK371,0,0,1,.,9-Aug,11,14,0.4,0.3666667,0.0268991,-0.0549312,0.2304523,0.3159727,1,2,3,1,2,,,,.,,,,,,,,,,,Tekhand,13,1,8,1,14,4.388462,0,0,0,0,1,0
TK372,0,0,1,.,9-Aug,12,10,0.2857143,0.4,-0.2847365,-0.1608997,0.7612614,0.7137779,1,2,4,1,3,,,,.,,,,,,,,,,,Tekhand,14,1,8,0,14,1.4008,0,0,0,0,1,0
TK373,1,1,1,Less than 1 hour,7-Jun,8,7,0.2,0.2666667,-1.541348,-1.075243,-1.153419,-0.894676,1,1,2,1,1,0,0,1,.,7-Apr,14,11,0.3235294,0.4666667,-0.9482279,-0.5776126,-0.1502498,-0.0258947,1,Tekhand,10,1,6,1,14,-1.047189,0,0,1,0,0,0
TK375,1,1,1,Less than 1 hour,7-Jun,19,13,0.3714286,0.6333333,0.6207011,0.5821671,0.8573632,0.7370042,1,5,5,3,3,0,0,1,.,7-Apr,23,23,0.6764706,0.7666667,1.271372,0.9944907,1.355858,1.154199,1,Tekhand,,1,6,0,14,1.4008,0,0,1,0,0,0
TK376,0,0,1,.,9-Aug,7,11,0.3142857,0.2333333,0.8281263,0.8206575,-0.9792364,-0.8709608,1,4,1,2,1,1,0,0,1-2 hours,7-Apr,8,16,0.4705882,0.2666667,-0.0293662,0.0614321,-0.8190456,-0.6246563,1,Tekhand,,1,9,0,15,-1.350772,0,0,0,0,0,1
TK377,0,0,1,.,7-Jun,5,9,0.2571429,0.1666667,-0.6008813,-0.4071689,-1.712683,-1.472432,1,2,1,1,1,0,0,1,.,7-Apr,10,16,0.4705882,0.3333333,-0.3341304,-0.1279781,-1.092954,-0.8330358,1,Tekhand,,1,7,1,15,-2.023956,0,0,0,1,0,0
TK379,1,0,1,1-2 hours,7-Jun,13,9,0.2571429,0.4333333,-1.390467,-1.012339,-0.0930438,-0.0502904,1,1,4,1,2,,,,.,,,,,,,,,,,Tekhand,11,1,6,0,15,-1.509194,0,0,1,0,0,0
TK380,1,0,0,1-2 hours,7-Jun,6,15,0.4285714,0.2,0.5919623,0.5614897,-1.532057,-1.254892,1,5,1,3,1,1,0,0,3-4 hours,7-Apr,5,12,0.3529412,0.1666667,-0.9168394,-0.5599533,-1.974279,-3.241013,1,Tekhand,12,0,6,0,12,-4.957415,0,0,1,0,0,0
TK381,1,0,0,1-2 hours,9-Aug,2,6,0.1714286,0.0666667,-1.448738,-1.145871,-2.067142,-3.259919,1,1,1,1,1,,,,.,,,,,,,,,,,Tekhand,13,0,8,0,13,-2.106704,0,0,0,0,1,0
TK382,1,0,0,1-2 hours,9-Aug,18,13,0.3714286,0.6,0.5799197,0.5474327,1.35657,1.176937,1,4,5,2,3,1,0,0,1-2 hours,9-Aug,19,22,0.6285715,0.6333333,1.45025,1.134939,1.161605,1.024771,1,Tekhand,12,0,8,1,13,-4.120768,0,0,0,0,1,0
TK383,0,0,0,.,7-Jun,15,17,0.4857143,0.5,0.858529,0.7144505,-0.3713,-0.3648616,0,5,3,3,2,0,1,0,.,7-Apr,14,6,0.1764706,0.4666667,-1.038572,-0.6479179,-0.0877264,-0.026475,1,Tekhand,11,1,6,0,17,-2.074339,0,0,1,0,0,0
TK384,0,0,1,.,9-Aug,12,18,0.5142857,0.4,1.756195,1.485575,0.1970299,0.3041215,1,5,3,3,2,0,0,0,.,9-Aug,22,17,0.4857143,0.7333333,0.7335178,0.6462241,0.9270069,0.7682338,0,Tekhand,14,1,8,1,14,0.8858434,0,0,0,0,1,0
TK385,0,0,0,.,9-Aug,8,8,0.2285714,0.2666667,-0.1851348,-0.1151442,-0.5689838,-0.2844207,0,2,1,1,1,,,,.,,,,,,,,,,,Tekhand,15,1,9,1,17,-1.337381,0,0,0,0,0,1
TK386,0,0,0,.,7-Jun,18,14,0.4,0.6,0.3401057,0.3509138,0.8163264,0.7259536,0,4,5,2,3,0,0,0,.,7-Apr,25,20,0.5882353,0.8333333,1.386995,1.080682,1.90999,1.710869,0,Tekhand,12,1,7,1,17,0.1241006,0,0,0,1,0,0
TK387,0,0,0,.,7-Jun,16,10,0.2857143,0.5333334,0.0174888,0.1103748,0.3165984,0.3040782,0,3,4,2,3,0,0,0,.,7-Apr,23,21,0.6176471,0.7666667,1.484153,1.14687,1.554706,1.367764,0,Tekhand,11,1,6,1,16,-1.337381,0,0,1,0,0,0
TK389,0,1,0,.,7-Jun,12,6,0.1714286,0.4,-0.4852058,-0.2618688,-0.2154918,-0.0994815,1,2,3,2,2,0,0,1,.,7-Apr,18,18,0.5294118,0.6,0.5370798,0.4699027,0.7381358,0.6683552,1,Tekhand,11,1,7,1,15,0.9292488,0,0,0,1,0,0
TK390,1,1,0,3-4 hours,9-Aug,12,9,0.2571429,0.4,0.3264955,0.3269497,0.3896412,0.4224481,1,3,3,2,2,1,0,0,1-2 hours,9-Aug,15,10,0.2857143,0.5,-0.5996057,-0.3152607,0.3165328,0.3133951,1,Tekhand,13,1,8,1,14,0.1241006,0,0,0,0,1,0
TK391,1,1,1,1-2 hours,9-Aug,16,8,0.2285714,0.5333334,0.3201027,0.3925472,1.098993,0.9744726,1,3,4,2,3,0,0,1,.,9-Aug,22,24,0.6857143,0.7333333,2.124867,1.656157,1.356785,1.170677,1,Tekhand,,1,8,1,14,0.9292488,0,0,0,0,1,0
TK392,1,1,1,More than 4 hours,7-Jun,15,12,0.3428572,0.5,0.4723882,0.4654025,0.1420894,0.1891712,1,4,3,3,2,0,0,1,.,7-Apr,18,20,0.5882353,0.6,0.9940495,0.8603508,0.4737506,0.4388099,1,Tekhand,13,1,7,0,15,0.1241006,0,0,0,1,0,0
TK393,1,1,1,2-3 hours,7-Jun,21,13,0.3714286,0.7,0.2255998,0.2545833,1.203293,1.022888,1,3,5,2,3,0,0,1,.,7-Apr,19,22,0.6470588,0.6333333,1.194384,0.9403408,0.7232699,0.6368626,1,Tekhand,12,1,7,1,15,-0.6318316,0,0,0,1,0,0
TK394,0,0,0,.,7-Jun,13,7,0.2,0.4333333,-1.291796,-0.7787322,-0.1473187,-0.0741923,0,2,3,1,2,1,0,0,3-4 hours,7-Apr,6,9,0.2647059,0.2,-1.399241,-0.998862,-1.522799,-1.140668,1,Tekhand,10,1,6,0,15,-0.6318316,0,0,1,0,0,0
TK395,0,0,0,.,9-Aug,9,10,0.2857143,0.3,0.1128465,0.1055333,0.0252737,0.130658,0,2,2,1,1,0,0,1,.,9-Aug,18,12,0.3428572,0.6,-1.043601,-0.8600311,0.7621567,0.6897854,1,Tekhand,14,1,9,0,19,-1.024251,0,0,0,0,0,1
TK396,0,0,0,.,9-Aug,6,9,0.2571429,0.2,0.1500733,0.1867213,-0.6343241,-0.3888541,0,3,2,2,1,,,,.,9-Aug,10,10,0.2857143,0.3333333,-1.015224,-0.7350816,-0.6954548,-0.4679229,,Tekhand,16,1,8,1,15,-3.643859,0,0,0,0,1,0
TK397,0,0,0,.,7-Jun,2,4,0.1142857,0.0666667,-2.096968,-3.560803,-2.382432,-3.265457,0,1,1,1,1,0,0,1,.,7-Apr,12,14,0.4117647,0.4,-0.1225906,0.0275535,-0.5816205,-0.4166086,1,Tekhand,12,1,7,0,14,-2.874535,0,0,0,1,0,0
TK398,0,1,0,.,7-Jun,12,3,0.0857143,0.4,-2.335792,-3.174929,-0.5993983,-0.4152221,1,1,2,1,1,1,0,0,Less than 1 hour,7-Apr,6,9,0.2647059,0.2,-1.372545,-0.9637296,-1.71647,-1.465828,1,Tekhand,11,1,7,0,15,0.1599253,0,0,0,1,0,0
TK399,0,0,0,.,7-Jun,11,10,0.2857143,0.3666667,-0.5850701,-0.3133824,-0.3602312,-0.2260712,0,2,2,1,2,0,1,0,.,7-Apr,19,14,0.4117647,0.6333333,-0.4032884,-0.2470093,0.612014,0.5390316,1,Tekhand,14,1,7,1,14,0.9292488,0,0,0,1,0,0
TK400,0,0,0,.,7-Jun,11,9,0.2571429,0.3666667,0.1175535,0.1641825,-0.374213,-0.220457,0,4,3,2,2,1,0,0,1-2 hours,7-Apr,10,14,0.4117647,0.3333333,0.0176518,0.1129707,-0.8933794,-0.5721695,1,Tekhand,11,1,6,0,14,-0.1098966,0,0,1,0,0,0
TK401,1,0,0,2-3 hours,9-Aug,18,13,0.3714286,0.6,0.5313895,0.4741027,1.084949,0.947126,1,3,4,2,3,0,0,0,.,9-Aug,21,23,0.6571429,0.7,1.907935,1.487524,1.302616,1.153983,0,Tekhand,13,1,8,1,15,-1.401155,0,0,0,0,1,0
TK402,0,1,0,.,9-Aug,8,5,0.1428571,0.2666667,-2.138674,-3.712901,-1.664539,-2.090502,1,1,1,1,1,0,0,0,.,9-Aug,7,10,0.2857143,0.2333333,-1.92361,-2.676522,-1.526834,-1.236218,0,Tekhand,12,1,8,1,15,-1.635152,0,0,0,0,1,0
TK403,0,0,0,.,9-Aug,14,14,0.4,0.4666667,-0.867107,-0.7028452,1.050352,0.9612285,0,1,4,1,3,,,,.,,,,,,,,,,,Tekhand,13,1,9,0,15,0.9525119,0,0,0,0,0,1
TK404,1,1,1,Less than 1 hour,7-Jun,10,5,0.1428571,0.3333333,-1.451053,-1.145305,-1.021705,-0.7825919,1,1,2,1,1,1,0,0,1-2 hours,7-Apr,12,12,0.3529412,0.4,-0.7775055,-0.548895,-0.5572299,-0.3811016,1,Tekhand,12,1,6,0,15,1.690992,0,0,1,0,0,0
TK405,1,1,1,1-2 hours,7-Jun,12,14,0.4,0.4,-0.7208719,-0.4959739,-0.9533616,-0.7806684,1,2,2,1,1,1,0,0,1-2 hours,7-Apr,17,5,0.1470588,0.5666667,-1.77121,-1.976406,0.0276611,0.0604561,1,Tekhand,,1,6,0,19,0.6952515,0,0,1,0,0,0
TK406,0,0,0,.,7-Jun,7,0,0,0.2333333,,,-1.337041,-1.065483,0,,1,,1,1,1,0,Less than 1 hour,7-Apr,8,9,0.2647059,0.2666667,-1.281254,-0.8643589,-1.520188,-1.700632,1,Tekhand,10,1,6,1,17,-2.106704,0,0,1,0,0,0
TK407,1,0,0,1-2 hours,7-Jun,23,15,0.4285714,0.7666667,0.6747783,0.5624208,1.781554,1.531719,1,4,5,3,3,0,0,1,.,7-Apr,24,17,0.5,0.8,0.6713109,0.6023373,1.712283,1.464484,1,Tekhand,,1,7,0,15,-0.258892,0,0,0,1,0,0
TK408,0,1,0,.,7-Jun,13,11,0.3142857,0.4333333,-0.4289605,-0.2639769,-0.6946093,-0.5983404,1,2,2,1,1,0,0,0,.,7-Apr,16,15,0.4411765,0.5333334,-0.0363894,0.0592739,0.2182212,0.2189798,0,Tekhand,11,0,6,1,12,-0.7040457,0,0,1,0,0,0
TK409,1,0,0,1-2 hours,9-Aug,7,8,0.2285714,0.2333333,0.5204372,0.5391159,-0.466554,-0.3362086,1,4,2,2,1,1,0,0,1-2 hours,9-Aug,22,26,0.7428572,0.7333333,2.398501,1.829926,1.458136,1.312343,1,Tekhand,13,1,8,1,15,-0.1602799,0,0,0,0,1,0
TK410,0,1,0,.,7-Jun,3,3,0.0857143,0.1,-2.17529,-3.712901,-1.959867,-2.633114,1,1,1,1,1,0,1,0,.,7-Apr,10,15,0.4411765,0.3333333,-0.4066064,-0.1846632,-1.422996,-1.100443,1,Tekhand,10,1,6,1,15,-2.010564,0,0,1,0,0,0
TK413,1,1,0,1-2 hours,9-Aug,6,8,0.2285714,0.2,-1.327901,-0.9626132,-1.261768,-2.262487,1,1,1,1,1,0,0,0,.,9-Aug,14,16,0.4571429,0.4666667,0.1770323,0.2437567,-0.3160406,-0.1881326,0,Tekhand,13,1,8,1,19,-2.106704,0,0,0,0,1,0
TK414,0,0,0,.,7-Jun,12,11,0.3142857,0.4,0.062315,0.1277898,-0.2011516,-0.0751957,0,3,3,2,2,0,0,0,.,7-Apr,19,16,0.4705882,0.6333333,0.4975742,0.4560244,0.3101336,0.3019399,0,Tekhand,12,1,7,0,15,-0.6434454,0,0,0,1,0,0
TK415,0,0,0,.,7-Jun,9,4,0.1142857,0.3,-1.699087,-2.515672,-0.6908044,-0.4725834,0,1,2,1,2,1,1,0,Less than 1 hour,7-Apr,2,3,0.0882353,0.0666667,-2.197257,-3.596429,-2.148146,-2.769931,1,Tekhand,11,1,6,1,15,-4.957415,0,0,1,0,0,0
TK416,0,0,0,.,7-Jun,7,12,0.3428572,0.2333333,0.304138,0.3440555,-1.268833,-1.031197,0,4,1,3,1,1,0,0,Less than 1 hour,7-Apr,14,21,0.6176471,0.4666667,1.366956,1.120425,-0.0540576,0.0189325,1,Tekhand,12,1,6,0,17,-1.337381,0,0,1,0,0,0
TK417,0,0,0,.,7-Jun,10,11,0.3142857,0.3333333,-0.5096781,-0.2955905,-1.285653,-1.0043,0,2,1,1,1,0,1,0,.,7-Apr,9,13,0.3823529,0.3,0.0779794,0.1671206,-0.4851705,-0.2926469,1,Tekhand,11,1,6,0,17,1.623184,0,0,1,0,0,0
TK418,0,0,0,.,7-Jun,22,12,0.3428572,0.7333333,0.4137713,0.423826,1.70003,1.449273,0,4,5,3,3,0,0,0,.,7-Apr,23,20,0.5882353,0.7666667,0.7518705,0.6366842,1.357463,1.173234,0,Tekhand,,1,7,0,17,-0.1098966,0,0,0,1,0,0
TK419,0,0,0,.,7-Jun,8,5,0.1428571,0.2666667,-1.2392,-0.8322923,-1.130223,-0.8844814,0,1,1,1,1,0,0,0,.,7-Apr,4,6,0.1764706,0.1333333,-2.205459,-3.425144,-1.999612,-3.274859,0,Tekhand,10,1,7,0,15,-0.6434454,0,0,0,1,0,0
TK420,0,0,1,.,7-Jun,17,9,0.2571429,0.5666667,-0.0781154,0.0043247,0.7444219,0.682008,1,3,4,2,3,0,0,1,.,7-Apr,26,21,0.6176471,0.8666667,0.9819982,0.7335351,2.233995,2.105267,1,Tekhand,12,1,7,1,18,-2.174028,0,0,0,1,0,0
TK421,1,1,0,2-3 hours,7-Jun,4,11,0.3142857,0.1333333,0.2942142,0.2490422,-1.941577,-2.289728,1,3,1,2,1,,,,.,,,,,,,,,,,Tekhand,11,1,7,1,16,1.421552,0,0,0,1,0,0
TK422,1,1,0,2-3 hours,7-Jun,9,9,0.2571429,0.3,-0.1047346,0.0057096,-0.9329625,-0.7704979,1,3,2,2,1,1,0,0,1-2 hours,7-Apr,21,25,0.7352941,0.7,1.906093,1.500289,0.8553013,0.7060663,1,Tekhand,9,1,6,1,16,1.289587,0,0,1,0,0,0
TK423,1,1,0,More than 4 hours,7-Jun,11,12,0.3428572,0.3666667,-0.1955047,-0.1008599,-0.4915143,-0.3946895,1,3,3,2,2,0,0,0,.,7-Apr,12,4,0.1176471,0.4,-2.261216,-3.672252,-0.428038,-0.2851717,0,Tekhand,10,1,6,0,16,1.913375,0,0,1,0,0,0
TK424,1,0,0,1-2 hours,9-Aug,7,11,0.3142857,0.2333333,0.0275326,0.0313515,-0.5534115,-0.4607915,1,2,1,2,1,0,0,1,.,9-Aug,16,19,0.5428572,0.5333334,1.268548,1.065501,0.3521776,0.3536621,1,Tekhand,15,1,8,0,15,0.0621035,0,0,0,0,1,0
TK427,1,0,0,.,7-Jun,15,9,0.2571429,0.5,-0.0767388,0.0162526,0.4065553,0.4082808,1,3,4,2,3,0,0,1,.,7-Apr,21,17,0.5,0.7,0.5779533,0.5080314,0.7613891,0.6987786,1,Tekhand,13,1,7,1,15,0.1733165,0,0,0,1,0,0
